transcript_id,Sheep,Camel,Pig,Lesser-mouse-deer,Pronghorn,Giraffe,Forest-musk-deer,Cattle,Goat,Sika-deer,Rein-deer,Hippo,Killer-whale,Tapir
MSTRG.10000.1,5613,4241,4164,4442,5081,5144,5206,5294,5527,5212,5199,4402,4467,4079
MSTRG.10004.1,1185,523,516,564,716,793,824,970,1145,806,774,609,575,517
MSTRG.1001.1,245,0,0,0,1,1,1,1,205,1,1,1,1,0
MSTRG.10021.2,613,181,193,148,561,573,565,580,603,570,556,206,154,189
MSTRG.10021.3,534,119,125,134,486,498,494,501,524,500,492,135,139,107
MSTRG.100.3,1354,739,758,800,915,1025,1065,1221,1287,989,1014,837,817,721
MSTRG.10042.1,429,326,338,349,400,396,395,408,420,401,403,197,195,308
MSTRG.10044.2,1047,804,801,887,969,958,981,992,1027,968,966,842,828,781
MSTRG.10052.1,956,822,787,833,902,916,922,922,948,912,909,851,850,822
MSTRG.10053.1,222,181,167,184,213,211,205,210,219,202,201,155,197,174
MSTRG.10055.10,7602,0,0,0,0,0,0,0,5934,0,0,0,0,0
MSTRG.10055.9,10549,99,0,98,120,121,124,133,8413,125,126,99,112,92
MSTRG.10056.1,3551,2317,2114,2440,3016,3084,2937,3096,3469,3009,3028,2452,2370,2029
MSTRG.10057.1,7143,4306,4589,5284,6483,6631,6632,6780,7030,6522,6526,4969,5024,4727
MSTRG.10057.2,2425,1824,1789,1813,2170,2270,2249,2306,2393,2253,2224,1916,1927,1845
MSTRG.100.7,1117,635,658,680,773,857,846,1005,1054,789,805,714,698,608
MSTRG.10071.1,435,302,322,339,395,391,391,411,427,393,391,355,335,286
MSTRG.10071.2,3697,2733,2680,2767,3109,3169,3152,3497,3635,3161,3096,2854,2857,2728
MSTRG.10071.3,799,618,610,652,713,726,727,761,787,728,721,627,654,613
MSTRG.10071.4,241,190,177,121,209,220,221,228,237,133,222,192,194,179
MSTRG.10073.1,1332,990,920,983,1153,1224,1229,1254,1299,1196,1194,1062,1088,940
MSTRG.10081.1,1694,1019,988,1417,1531,1578,1575,1595,1655,1577,1580,1070,1191,994
MSTRG.10085.1,1236,732,723,739,1116,1127,1140,1167,1203,1132,1128,793,771,721
MSTRG.10086.1,8372,4103,3477,4763,7096,7621,7608,7741,8161,7586,7524,5860,5469,4069
MSTRG.10095.6,757,480,441,526,677,671,702,710,738,693,673,480,502,375
MSTRG.10103.1,1703,1325,1255,1348,1528,1569,1578,1623,1688,1561,1538,1233,1230,1266
MSTRG.1013.1,407,85,84,83,107,110,107,116,390,109,108,88,99,0
MSTRG.10131.1,1725,1380,1355,1412,1597,1615,1591,1630,1692,1618,1617,1457,1493,1345
MSTRG.10149.1,635,396,413,523,573,582,588,600,618,590,589,495,499,368
MSTRG.10150.1,1140,547,590,775,1028,1026,989,1076,1108,929,1031,643,588,555
MSTRG.10188.1,404,204,296,327,330,368,371,361,397,368,371,339,343,296
MSTRG.10198.1,2267,967,941,1580,1771,1840,1851,2055,2205,1813,1780,1151,999,910
MSTRG.10203.1,7267,3884,2211,4155,5806,6107,6260,6644,7085,6320,6251,3722,4373,3803
MSTRG.10220.1,1253,876,871,981,1038,1130,1090,1181,1210,1117,1097,960,975,848
MSTRG.10221.1,768,434,439,564,655,635,693,677,739,650,636,492,494,449
MSTRG.10223.1,1094,578,581,878,976,993,915,1020,1064,986,1002,649,623,523
MSTRG.10224.1,3059,633,1259,258,2375,2339,2727,2783,2962,2430,2411,799,1394,1205
MSTRG.10240.1,1017,865,851,782,937,946,964,973,1001,954,959,881,896,791
MSTRG.10240.2,526,438,420,404,473,480,477,503,520,488,487,449,447,371
MSTRG.10240.3,1002,860,846,780,926,930,947,960,987,941,947,877,887,791
MSTRG.10245.1,22152,12363,12470,13555,18277,18515,18676,19292,21479,18592,18485,14354,14404,13004
MSTRG.10245.2,2462,1952,1946,2031,2246,2263,2251,2304,2399,2277,2265,1966,2025,1885
MSTRG.10257.2,572,187,190,151,324,341,346,333,559,316,293,203,203,187
MSTRG.10257.3,1521,907,968,292,1174,1163,1185,1229,1492,1132,1107,1038,1023,908
MSTRG.10260.1,1849,1438,1428,1528,1658,1709,1703,1738,1806,1682,1672,1543,1548,1440
MSTRG.10260.2,1596,1259,1249,1337,1442,1478,1473,1500,1555,1453,1445,1345,1351,1252
MSTRG.10272.1,1182,763,710,787,1035,1072,1076,1111,1156,1071,1082,788,800,671
MSTRG.10294.1,6876,3616,4575,4918,5712,5912,5972,6130,6622,5887,5863,4954,4817,4393
MSTRG.10296.1,513,120,68,175,302,319,299,331,355,328,313,135,122,98
MSTRG.10305.1,637,417,374,426,503,562,578,560,617,553,566,454,448,197
MSTRG.10312.1,5053,3993,4017,4155,4368,4543,4556,4672,4838,4547,4523,4111,4174,3823
MSTRG.10313.1,232,0,0,0,0,0,0,20,229,0,0,0,0,0
MSTRG.10319.1,2465,1022,1209,1860,2025,2020,1991,2122,2292,2097,2058,1291,1302,587
MSTRG.10319.2,4064,2130,2351,3124,3359,3402,3407,3584,3846,3499,3463,2546,2545,1352
MSTRG.10319.3,971,501,521,708,789,800,772,843,939,838,817,568,562,284
MSTRG.1033.1,546,21,25,21,407,401,397,412,534,401,400,24,25,23
MSTRG.10331.1,234,0,0,0,0,0,0,105,228,0,0,0,0,0
MSTRG.10332.2,607,0,142,203,450,459,474,474,578,467,464,171,300,145
MSTRG.10338.1,1252,559,541,259,819,923,975,1011,1181,929,937,573,583,548
MSTRG.10357.13,362,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10357.7,302,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10357.9,451,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10374.2,244,184,179,177,206,214,213,227,235,176,177,185,194,168
MSTRG.10374.3,4979,3145,3136,3601,4218,3777,4410,4600,4831,4336,3638,3408,3413,3054
MSTRG.10374.4,653,499,491,488,573,578,557,586,618,549,551,481,513,475
MSTRG.10374.6,834,616,587,636,748,756,732,769,775,735,748,617,650,492
MSTRG.10385.1,785,613,592,621,637,684,706,729,765,709,692,600,626,595
MSTRG.10415.1,2647,2097,2082,2194,2370,2412,2451,2475,2614,2416,2430,2205,2228,2128
MSTRG.10419.1,4514,2359,2548,3497,3876,4049,4057,4196,4403,4051,4016,3454,3504,2391
MSTRG.10421.2,4791,3712,3540,3889,4214,4287,4346,4435,4634,4313,4278,3858,3867,3632
MSTRG.10422.3,774,0,0,0,0,0,0,0,753,0,0,0,0,0
MSTRG.10435.1,748,243,243,605,665,680,659,701,739,678,671,224,261,234
MSTRG.10439.1,472,252,248,282,248,360,380,389,444,377,381,264,154,210
MSTRG.10439.2,482,229,220,249,214,325,346,352,454,340,345,234,128,181
MSTRG.10443.1,1309,10,10,8,12,11,13,15,14,12,12,10,0,10
MSTRG.10444.3,686,217,439,454,626,627,610,643,671,639,633,536,574,194
MSTRG.10453.1,203,112,103,154,179,183,180,190,198,181,178,118,117,109
MSTRG.10457.1,536,435,435,460,491,496,486,506,529,500,498,461,473,431
MSTRG.10465.1,966,681,614,392,813,840,851,883,936,841,828,717,733,622
MSTRG.10466.1,1357,680,605,531,834,822,866,895,1039,858,826,725,720,696
MSTRG.10469.1,765,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10470.1,308,0,0,0,0,0,0,0,296,0,0,0,0,0
MSTRG.10471.2,2565,1394,1424,1109,2211,2253,2297,2317,2453,2229,2228,1556,1613,1374
MSTRG.10472.1,710,473,436,526,620,630,633,661,691,661,659,438,538,468
MSTRG.10473.1,1645,653,605,703,776,809,1341,1429,1525,828,821,689,721,650
MSTRG.10500.2,13089,9414,8896,10500,11631,11996,11718,12157,12798,11871,11868,9956,10063,9127
MSTRG.10500.4,2482,1522,1510,1986,2180,2271,2238,2273,2422,2292,2285,1613,1622,1489
MSTRG.10500.5,4447,3224,3031,3467,3994,4109,4034,4130,4376,4000,3994,3455,3519,3075
MSTRG.10504.1,26022,16468,15117,17499,21471,22274,22648,23018,24946,21131,21013,17941,18557,16242
MSTRG.105.1,5022,0,572,3028,3299,3882,3418,4279,4802,4030,3953,289,36,12
MSTRG.10512.1,467,189,177,371,399,415,421,417,445,413,422,197,201,130
MSTRG.10515.1,213,147,156,175,200,202,198,206,212,199,201,180,180,147
MSTRG.10521.1,4372,0,0,0,0,0,16,1912,3906,0,0,0,0,0
MSTRG.10521.2,4292,0,0,0,0,0,16,1890,3895,0,0,0,0,0
MSTRG.10521.4,3446,0,0,0,0,0,16,1338,3115,0,0,0,0,0
MSTRG.10521.5,3900,0,0,0,0,0,32,1553,3350,0,0,0,0,0
MSTRG.10521.6,3654,0,0,0,0,0,16,1345,3237,0,0,0,0,0
MSTRG.10522.1,654,0,0,0,0,0,0,0,632,0,0,0,0,0
MSTRG.10537.1,516,301,219,305,436,443,369,453,486,415,423,353,279,241
MSTRG.10543.1,1523,994,1064,1055,1356,1377,1393,1416,1485,1349,1327,1175,1156,939
MSTRG.10576.1,1822,1007,1127,1238,1598,1659,1673,1713,1785,1667,1670,1255,1405,1182
MSTRG.10576.2,1719,1064,1174,1200,1509,1552,1582,1597,1664,1572,1571,1207,1350,1146
MSTRG.10578.2,3211,2384,2231,2515,2970,3013,2954,3052,3149,2982,2994,2512,2487,2314
MSTRG.10579.1,708,317,321,481,264,607,634,626,690,612,602,325,330,302
MSTRG.10651.2,1190,462,382,483,972,1042,983,1054,1157,982,977,720,728,298
MSTRG.10652.1,358,196,131,236,274,328,319,320,347,323,317,231,248,142
MSTRG.10652.2,546,238,224,346,418,495,477,497,531,454,478,336,381,263
MSTRG.10657.1,566,297,71,333,412,411,422,436,555,407,429,308,317,266
MSTRG.10692.1,1127,139,140,892,1014,1040,1058,1061,1102,1021,1019,147,146,95
MSTRG.10692.3,1348,55,60,803,931,969,995,997,1306,951,948,58,65,54
MSTRG.10701.14,839,0,0,74,239,85,221,783,770,216,224,0,0,0
MSTRG.10701.15,645,0,0,0,228,0,237,509,612,236,240,0,0,0
MSTRG.10701.25,347,0,0,0,0,0,0,0,259,0,0,0,0,0
MSTRG.10701.5,383,0,0,0,0,0,363,367,361,0,355,0,0,0
MSTRG.10705.3,7744,0,0,0,0,0,0,3930,7419,0,0,0,0,0
MSTRG.10705.5,7649,0,0,0,0,0,0,3602,7329,0,0,0,0,0
MSTRG.10720.1,4529,2772,2195,3271,3625,3738,3742,3898,4418,3723,3753,2979,2997,2720
MSTRG.10724.1,289,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10732.2,366,0,0,1,1,1,1,1,1,1,1,1,0,0
MSTRG.10771.1,525,269,262,397,461,477,206,496,510,482,484,292,286,256
MSTRG.10773.1,861,834,842,837,851,855,854,855,855,853,854,844,838,833
MSTRG.10787.15,3094,2315,2338,2587,2881,2888,2915,2943,3041,2910,2868,2464,2511,2274
MSTRG.10787.18,1664,1417,1347,1417,1558,1556,1573,1595,1640,1571,1568,1490,1480,1346
MSTRG.10787.20,466,406,392,394,453,454,454,459,463,452,453,434,434,420
MSTRG.10787.6,3834,2699,2440,2833,3475,3563,3579,3600,3758,3584,3565,2850,1635,2404
MSTRG.10787.8,4520,3229,2895,3391,4097,4198,4204,4240,4435,4209,4189,3418,1949,2778
MSTRG.10796.1,1288,778,834,1111,1191,1225,1236,1221,1269,1230,1221,679,683,804
MSTRG.10798.1,18570,9586,8706,13259,15702,16220,16208,16942,18120,16065,16030,10433,10715,9500
MSTRG.10799.3,28433,14788,13277,17799,23013,24108,24351,25591,27732,23605,24266,16474,16373,14068
MSTRG.1080.1,249,187,191,195,205,205,206,207,241,203,202,197,191,190
MSTRG.10801.1,1620,907,400,1177,1284,1316,1322,1362,1599,1309,1309,652,1086,611
MSTRG.10802.1,2539,657,123,839,1481,1522,1229,1555,1643,1523,1502,702,670,597
MSTRG.10810.1,797,521,575,638,627,696,692,721,724,547,488,661,639,90
MSTRG.10817.1,1451,828,884,1079,1288,1321,1323,1337,1424,1316,1324,992,1022,875
MSTRG.10817.2,1406,781,828,970,1260,1270,1279,1294,1383,1264,1269,922,951,824
MSTRG.10820.1,364,277,209,236,338,337,343,345,361,332,329,178,294,243
MSTRG.10822.13,1375,812,780,1108,1239,1286,1276,1295,1344,1271,1257,985,1089,912
MSTRG.10842.1,1960,682,651,1606,1787,1777,1603,1814,1889,1768,1776,759,797,41
MSTRG.10849.1,551,0,0,447,445,456,483,495,470,487,447,198,85,0
MSTRG.10850.1,696,0,0,533,616,635,632,628,676,218,200,152,165,0
MSTRG.10851.1,2066,162,490,1318,1640,1737,1764,1703,1769,1754,1677,1321,1301,37
MSTRG.10851.2,2060,162,486,1318,1638,1739,1756,1699,1766,1744,1674,1300,1299,37
MSTRG.10852.1,1019,0,0,442,516,542,867,861,934,758,252,0,0,0
MSTRG.10852.2,447,0,0,361,383,404,407,393,428,323,177,0,0,0
MSTRG.10852.3,1122,0,0,29,33,34,49,49,54,32,33,0,0,0
MSTRG.10853.1,2631,0,0,0,226,217,476,490,515,475,0,0,0,0
MSTRG.10853.2,2616,0,0,0,748,746,991,1022,1054,987,0,0,0,0
MSTRG.10853.4,573,0,0,0,392,387,521,537,556,517,0,0,0,0
MSTRG.10853.5,594,0,0,0,503,530,524,538,547,504,0,0,0,0
MSTRG.10854.1,550,0,0,230,251,261,248,266,269,254,254,233,232,0
