chr	start	end	transcript_id	Intestine	Testis	Abomasal	Submandibular-gland	Adipose	Retina	Skin	Liver	Ileum	Heart	Horn	Esophagus	Bone	Adrenal-gland	Lung	Muscle	Colon	Jejunum	Uterus	Kindey	Brain	Mammary-gland	Spleen	Rumen
17	6784953	6785001	MSTRG.10001.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.420101	0.0	0.0	0.0	0.0	0.0	0.0
1	6552910	6558485	MSTRG.100.1	8.731814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.260983	0.0	0.0	0.0	0.0	0.01686	0.0	0.0	0.0	0.916749	0.0	0.0	0.01306	0.0	0.0	0.0
17	7112314	7112398	MSTRG.10010.1	0.00196	0.0	0.00434	0.0	0.022689	0.002863	0.0	0.000424	0.014504	0.007281	0.117196	0.0	0.0	0.005563	0.0	0.0	0.026576	0.004279	0.0	0.00797	0.011775	0.0	0.003115	0.062981
1	104121138	104121219	MSTRG.1001.1	0.0	0.0	0.0	14.905003	0.0	0.930164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.248355	0.0	0.0	0.0	0.0	0.0
17	7189499	7189853	MSTRG.10012.7	0.772724	0.385897	0.0	0.11985	0.981584	0.36219	0.0	0.0	0.0	0.0	0.586804	0.0	0.0	0.209725	0.195685	0.0	0.246848	0.277002	0.0	0.837274	0.0	0.169818	3.047335	1.587776
17	7180590	7180657	MSTRG.10013.1	0.0	7.95562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.564632	0.0	0.0	0.0	0.0	0.0	0.0	0.259596	0.0	0.608803	0.0	0.0	1.804595	0.418939	1.684114
17	7216571	7216773	MSTRG.10014.1	0.0	0.0	0.0	0.12029	0.0	3.293643	0.0	0.0	0.0	0.100862	0.0	0.0	0.0	0.184582	0.0	0.0	0.0	0.370654	0.0	0.0	22.132545	0.0	0.0	0.0
17	7216571	7216773	MSTRG.10014.2	0.0	0.136655	0.0	0.06612	0.0	0.592984	0.0	0.706648	0.0	0.263005	0.0	0.484413	0.0	0.0	0.0	0.0	0.184186	0.293117	0.153011	0.0	10.119279	0.116754	0.0	0.846899
17	7209791	7210033	MSTRG.10015.1	0.577967	0.518651	1.054845	0.514664	0.0	2.040132	0.0	1.934856	0.0	5.760303	0.734518	0.0	0.0	0.200359	0.0	0.152645	1.211254	0.11749	0.0	0.0	1.800005	1.353053	0.0	7.721315
17	7392460	7392489	MSTRG.10017.1	0.0	0.0	0.0	0.0	6.904926	0.0	0.0	0.0	0.0	0.121167	7.860313	0.0	0.763162	0.0	0.0	0.0	0.0	0.0	0.287827	0.0	0.0	0.0	5.771923	0.332097
17	7427752	7427918	MSTRG.10019.1	0.170098	7.00281	0.740081	5.115296	0.0	14.722817	0.0	0.0	1.384325	0.479451	2.818503	0.0	1.092014	0.231623	0.171863	1.554504	0.938552	0.29305	4.806617	0.0	0.209196	2.460065	0.0	0.750602
17	7454266	7454341	MSTRG.10020.1	0.811722	1.6664	4.169251	3.211147	4.814165	19.387356	0.0	0.892054	2.697054	0.0	3.764874	0.0	8.439893	3.722447	0.694965	0.0	4.233015	0.418042	10.604951	7.641626	0.0	2.566596	0.0	2.26019
1	104971893	104971927	MSTRG.1002.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.138627	0.0	4.248605
17	7501861	7502094	MSTRG.10024.1	0.0	7.253585	1.435509	0.685277	0.577961	3.603871	0.0	4.99529	1.055506	0.0	0.0	0.0	0.0	0.0	0.280177	0.0	2.023966	0.0	2.273346	0.0	0.197465	0.898275	0.0	1.474825
17	7758075	7758192	MSTRG.10025.1	0.0	5.320707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.503154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
