tau	chr	start	end	name	Kidney	Salivary-gland	Spleen	Heart	Jejunum	Horn	Ileum	Bone-marrow	Skin	Blood	Brain	Testis	Adipose	Duodenal	Rumen	Muscle
NA	12	18237880	18239707	MSTRG.10000.2	0.0	0.035936	0.006274	0.019248	0.005375	0.153043	0.171227	0.163378	0.017878	0.263512	0.315399	0.060803	0.025732	0.170175	0.810249	0.0
NA	12	18237908	18239707	MSTRG.10000.3	0.0	0.0	0.0	0.03053	0.0	0.003744	0.011147	0.0	0.0	0.003474	0.019251	0.036693	0.00203	0.0	0.054589	0.0
0.97739	1	42867069	42875745	MSTRG.1000.1	0.0	0.0	0.0	0.0	4.905802	0.0	0.0	0.0	0.418763	0.230803	0.0	0.113068	0.0	0.0	1.714789	0.0
1.00000	12	19267459	19270607	MSTRG.10018.1	0.0	0.0	0.0	0.0	3.377573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.336603	0.225982	0.0
0.94930	12	19320016	19327456	MSTRG.10019.1	0.0	0.006461	0.0	0.0	2.687111	0.107973	0.187304	0.0	0.074828	0.798262	0.189287	0.0	0.0	0.0	3.668388	0.0
0.92208	12	19424012	19428124	MSTRG.10022.8	0.0	0.92054	1.257095	0.084159	0.23678	0.177382	0.096067	0.35182	0.558695	0.75373	1.063257	0.076003	0.0	0.090304	1.281749	0.0
1.00000	12	19441407	19448049	MSTRG.10024.1	0.0	0.046299	0.0	0.0	0.049303	0.144202	0.034956	0.145332	0.27702	0.049349	1.587672	0.560791	0.102633	0.011854	0.62763	0.367973
0.99304	12	19481388	19487206	MSTRG.10024.11	0.220997	0.174333	0.418247	0.173597	5.324768	0.092934	0.649078	0.5245	0.659505	1.066597	0.56538	0.223175	0.245163	0.345151	1.116426	0.315589
0.81365	12	19491433	19500920	MSTRG.10024.12	0.238216	0.246814	1.473169	0.111771	8.272738	0.904602	8.298409	0.819733	1.311967	8.253483	0.989015	1.127532	1.884578	0.507131	1.321421	0.294046
NA	12	19441879	19448049	MSTRG.10024.2	0.129204	0.181793	0.0	0.649759	0.0	0.068179	0.0	0.0	0.0	0.032088	0.927447	0.241695	0.625211	0.035761	0.960895	0.0
NA	12	19441918	19448049	MSTRG.10024.3	0.003399	0.035425	0.0	0.0	0.0	0.024654	0.0	0.0	0.0	0.004906	0.12521	0.224771	0.10123	0.034427	0.533804	0.0
NA	12	19441923	19444161	MSTRG.10024.6	0.0	0.031797	0.0	0.0	0.186827	0.04751	0.423211	0.0	0.623321	0.911327	0.358718	0.78289	0.500454	0.018338	0.629035	0.0
NA	12	19441933	19448049	MSTRG.10024.7	0.089548	0.00133	0.0	0.069215	0.143262	0.076242	0.0	0.090774	0.312111	0.751773	0.036586	0.059957	0.071841	0.005801	0.213229	0.0
0.93159	12	19441934	19444161	MSTRG.10024.8	0.219726	0.015766	0.292465	0.252705	1.285948	0.022628	0.804024	1.903175	1.22103	1.363554	3.931154	0.237769	0.279828	0.533668	0.760783	0.327717
1.00000	12	19448425	19456501	MSTRG.10024.9	0.0	0.052451	0.0	0.130472	0.809258	0.075826	0.188847	0.0	0.129209	0.741178	0.595826	0.209055	0.067309	0.128257	1.631548	0.343475
NA	12	19562968	19571694	MSTRG.10025.3	0.0	0.0	0.0	0.016538	0.0	0.082394	0.046882	0.0	0.0	0.0	0.091689	0.0	0.009621	0.054498	0.101622	0.0
1.00000	1	42840398	42859448	MSTRG.1003.1	0.0	0.003128	0.0	0.0	2.710392	0.0	0.023637	0.0	0.0	0.008365	0.034715	0.0	0.0	0.000504	0.186357	0.0
0.93531	12	21624610	21637363	MSTRG.10059.1	0.198229	0.030896	1.149063	0.157528	1.591675	0.749716	0.140804	0.613836	0.126723	0.48863	0.592724	0.137785	0.657098	0.406753	1.862902	0.0
0.98818	12	20707432	20715926	MSTRG.10061.1	0.328826	0.0	0.419151	0.225883	0.087677	0.815247	0.134248	1.203583	0.142182	0.123304	15.693715	0.63427	1.353783	0.274794	0.831282	0.171064
1.00000	12	20876226	20944846	MSTRG.10065.1	0.0	0.0	0.0	0.037937	0.18684	0.0	0.0	0.0	0.0	0.0	0.0	0.049239	0.0	0.0	3.2663	0.0
NA	12	20888486	20894319	MSTRG.10066.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008477	0.0	0.0	0.0	0.0	0.003459	0.0
NA	12	20888941	20894319	MSTRG.10066.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00962	0.0	0.0	0.0	0.0	5e-06	0.0
1.00000	12	20902784	20918460	MSTRG.10067.1	0.336197	0.775167	0.047015	0.801883	0.747223	0.410377	0.431678	0.218652	0.458046	0.477614	1.074736	0.709795	0.776334	0.375686	0.868557	0.1738
NA	12	21201205	21204403	MSTRG.10071.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.325754	0.0
0.96956	12	21516053	21563383	MSTRG.10080.1	0.198346	0.029846	0.299046	0.061896	3.260667	0.238371	0.016718	0.0	0.193252	0.221719	0.58608	0.169739	0.120924	0.478721	1.715584	0.0
NA	12	21900755	21901227	MSTRG.10084.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002048	0.0	1e-06	3e-06	4e-06	2e-06	0.001713	0.0
0.98292	12	21921047	21922973	MSTRG.10085.1	0.0	0.0	0.111025	0.0	1.401314	0.071822	0.248956	0.0	0.036415	0.610451	0.073255	0.020798	0.153465	0.125192	3.733048	0.0
0.94983	12	21980062	21983284	MSTRG.10086.1	0.015972	0.018477	0.051333	0.0419	1.388509	0.205499	0.096045	0.15374	0.136597	1.280213	0.087811	0.156668	0.057818	0.115592	0.806958	0.0
0.97039	12	21819657	21821057	MSTRG.10098.1	1.148589	0.218873	0.0	0.0	0.139306	0.143099	0.069738	0.0	0.228253	0.0	0.027529	0.0	0.0	0.41342	1.063465	0.0
1.00000	12	22128827	22193319	MSTRG.10104.1	0.0	0.055543	0.0	12.691913	0.462109	0.0	0.325063	0.0	0.062603	0.252775	0.065294	0.049669	0.228868	0.135736	0.903354	0.0
1.00000	12	22128835	22412756	MSTRG.10104.3	0.0	0.0	0.0	1.711571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.93951	12	22128836	22412756	MSTRG.10104.4	0.195466	0.135709	0.0	1.963734	1.019962	0.130281	0.0	0.0	0.112312	0.0	0.148161	0.122549	0.050954	0.54435	1.808659	0.0
1.00000	12	22381197	22412756	MSTRG.10104.5	0.0	0.526365	0.0	0.0	0.0	0.0	7.278275	0.0	0.0	0.0	0.0	0.0	0.0	0.747539	0.812373	0.0
1.00000	12	22168649	22200917	MSTRG.10105.1	0.0	0.0	0.0	0.134508	0.031925	0.059389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142385	2.747395	0.0
0.82950	12	24726903	24731725	MSTRG.10151.1	0.065074	1.394013	1.078061	0.416231	0.194321	1.308436	0.165141	1.34642	0.617287	0.221146	0.384613	1.530336	0.644305	0.792218	1.72817	0.518535
1.00000	12	24229649	24593797	MSTRG.10173.1	0.0	0.0	0.0	0.070022	0.169149	0.097216	0.0	0.0	0.045217	0.0	0.083394	0.220045	0.116959	0.0	2.398295	0.0
1.00000	12	24369431	24397592	MSTRG.10173.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.248537	0.0
0.84354	12	25258761	25262973	MSTRG.10186.1	0.362902	1.31547	0.0	1.537583	0.0	4.229112	0.785231	4.164912	0.44269	3.141592	0.933177	1.46296	0.418225	1.148707	9.313105	0.0
