transcript_id,Sheep,Camel,Pig,Lesser-mouse-deer,Pronghorn,Giraffe,Forest-musk-deer,Cattle,Goat,Sika-deer,Rein-deer,Hippo,Killer-whale,Tapir
TCONS_00006592,5613,4241,4164,4442,5081,5144,5206,5294,5527,5212,5199,4402,4467,4079
TCONS_00006598,1185,523,516,564,716,793,824,970,1145,806,774,609,575,517
TCONS_00000317,245,0,0,0,1,1,1,1,205,1,1,1,1,0
TCONS_00006091,613,181,193,148,561,573,565,580,603,570,556,206,154,189
TCONS_00006092,534,119,125,134,486,498,494,501,524,500,492,135,139,107
TCONS_00000052,1354,739,758,800,915,1025,1065,1221,1287,989,1014,837,817,721
TCONS_00006623,429,326,338,349,400,396,395,408,420,401,403,197,195,308
TCONS_00006101,1047,804,801,887,969,958,981,992,1027,968,966,842,828,781
TCONS_00006102,956,822,787,833,902,916,922,922,948,912,909,851,850,822
TCONS_00006103,222,181,167,184,213,211,205,210,219,202,201,155,197,174
TCONS_00006607,7602,0,0,0,0,0,0,0,5934,0,0,0,0,0
TCONS_00006606,10549,99,0,98,120,121,124,133,8413,125,126,99,112,92
TCONS_00006608,3551,2317,2114,2440,3016,3084,2937,3096,3469,3009,3028,2452,2370,2029
TCONS_00006612,7143,4306,4589,5284,6483,6631,6632,6780,7030,6522,6526,4969,5024,4727
TCONS_00006613,2425,1824,1789,1813,2170,2270,2249,2306,2393,2253,2224,1916,1927,1845
TCONS_00000056,1117,635,658,680,773,857,846,1005,1054,789,805,714,698,608
TCONS_00006626,435,302,322,339,395,391,391,411,427,393,391,355,335,286
TCONS_00006627,3697,2733,2680,2767,3109,3169,3152,3497,3635,3161,3096,2854,2857,2728
TCONS_00006628,799,618,610,652,713,726,727,761,787,728,721,627,654,613
TCONS_00006629,241,190,177,121,209,220,221,228,237,133,222,192,194,179
TCONS_00006641,1332,990,920,983,1153,1224,1229,1254,1299,1196,1194,1062,1088,940
TCONS_00006648,1694,1019,988,1417,1531,1578,1575,1595,1655,1577,1580,1070,1191,994
TCONS_00006109,1236,732,723,739,1116,1127,1140,1167,1203,1132,1128,793,771,721
TCONS_00006110,8372,4103,3477,4763,7096,7621,7608,7741,8161,7586,7524,5860,5469,4069
TCONS_00006107,757,480,441,526,677,671,702,710,738,693,673,480,502,375
