tau	chr	start	end	transcript_id	Testis	Duodenal	Muscle	Horn	Spleen	Rumen	Salivary-gland	Blood	Heart	Skin	Kidney	Jejunum	Ileum	Bone-marrow	Adipose	Brain
0.97831	12	18238124	18239707	MSTRG.10000.2	0.212569	0.622262	0.0	0.617525	0.017468	2.749858	0.092185	0.756042	0.062428	0.064835	0.0	0.016314	0.686191	0.511346	0.1092	1.389705
NA	12	18238124	18239707	MSTRG.10000.3	0.127789	0.0	0.0	0.013471	0.0	0.17039	0.0	0.009578	0.1045	0.0	0.0	0.0	0.044672	0.0	0.008211	0.066234
0.95657	1	42875329	42875745	MSTRG.1000.1	0.39378	0.0	0.0	0.0	0.0	4.181946	0.0	0.636329	0.0	1.518697	0.0	17.074842	0.0	0.0	0.0	0.0
0.99267	12	19270579	19270607	MSTRG.10018.1	0.0	1.204413	0.0	0.0	0.0	0.63444	0.0	0.0	0.0	0.0	0.0	5.42506	0.0	0.0	0.0	0.0
0.90735	12	19327030	19327456	MSTRG.10019.1	0.0	0.0	0.0	0.388498	0.0	9.136077	0.01664	2.446724	0.0	0.237704	0.0	9.352599	0.750619	0.0	0.0	0.782139
0.75229	12	19428022	19428124	MSTRG.10022.8	0.253403	0.330206	0.0	0.715732	3.49983	3.101808	2.366367	2.162525	0.272954	2.026177	0.0	0.78227	0.360294	1.10014	0.0	3.658119
0.94072	12	19447921	19448049	MSTRG.10024.1	1.95306	0.042416	1.172395	0.581853	0.0	1.976359	0.119251	0.136057	0.0	0.879998	0.0	0.149633	0.135158	0.454864	0.435543	5.462359
0.85302	12	19485464	19487206	MSTRG.10024.11	0.744087	1.235	1.005493	0.374987	1.164426	3.134345	0.447212	3.269191	0.594193	2.391776	1.047572	18.533068	2.601167	2.181106	1.040401	2.848881
0.63129	12	19498808	19500920	MSTRG.10024.12	3.759305	1.814588	0.936856	3.650048	4.101392	4.933303	0.633147	25.297462	0.382573	4.758009	1.145632	28.793594	33.255733	3.408817	7.997609	4.78841
0.86496	12	19447921	19448049	MSTRG.10024.2	0.841748	0.130762	0.0	0.245315	0.0	2.86021	0.468235	0.088468	2.224011	0.0	0.621367	0.0	0.0	0.0	2.661149	4.041274
1.00000	12	19447921	19448049	MSTRG.10024.3	0.785799	0.125886	0.0	0.099479	0.0	1.55155	0.091242	0.013525	0.0	0.0	0.016344	0.0	0.0	0.0	0.42959	0.551697
0.69914	12	19443468	19444161	MSTRG.10024.6	2.736983	0.067054	0.0	0.191703	0.0	2.542967	0.081899	2.614687	0.0	2.260551	0.0	0.544479	1.696013	0.0	2.130135	1.732086
0.99010	12	19446753	19448049	MSTRG.10024.7	0.209611	0.021212	0.0	0.274326	0.0	0.531043	0.003425	2.304234	0.23691	1.13191	0.430655	0.498629	0.0	0.377481	0.290618	0.177133
0.75923	12	19444029	19444161	MSTRG.10024.8	0.828077	2.023978	1.044136	0.081416	0.814241	2.27861	0.040445	4.17938	0.864965	4.428217	1.056708	4.475792	3.222111	7.914249	1.131983	13.525072
0.86069	12	19456290	19456501	MSTRG.10024.9	0.728073	0.458923	1.117666	0.305958	0.0	4.063351	0.134551	2.27176	0.446582	0.468591	0.0	2.456091	0.708257	0.0	0.286496	3.002292
NA	12	19564333	19571694	MSTRG.10025.3	0.0	0.199278	0.0	0.296463	0.0	0.317952	0.0	0.0	0.053639	0.0	0.0	0.0	0.187879	0.0	0.038921	0.402008
1.00000	1	42859328	42859448	MSTRG.1003.1	0.0	0.00191	0.0	0.0	0.0	0.523194	0.008025	0.023061	0.0	0.0	0.0	5.749444	0.091393	0.0	0.0	0.17121
