tau	chr	start	end	transcript_id	thymus	liver	colon	jejunum	skin	mammary	horn	duodenum	rumen	thyroid	uterus	heart	kidney	ileum	adipose	ovary	abomasum	omasum	intestine	esophagus	reticulum	muscle	Lung	spleen	brain
0.96469	13	68429535	68429550	MSTRG.10000.1	0.563226	0.0	0.0	0.113068	0.169655	0.132399	2.191444	0.019396	4.526741	0.0	1.57502	0.0	0.0	0.016857	0.203751	0.014319	0.546712	0.0	0.0	0.244769	0.4421	0.0	0.259851	0.01396	25.632214
0.90385	13	68368978	68370643	MSTRG.10000.2	1.788459	0.0	1.455735	1.660163	1.41889	0.734782	1.570773	0.466133	6.089087	0.868994	8.110717	0.736097	0.605508	1.116794	0.843651	0.252835	0.646858	1.532413	0.395306	0.872419	0.855555	77.783585	0.842708	0.290597	28.343481
NA	13	68425220	68425380	MSTRG.10001.1	0.0	0.0	0.0	0.0	0.031667	0.0	0.0	0.0	0.122726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0306
NA	13	68430698	68430709	MSTRG.10001.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.97696	13	68437201	68437225	MSTRG.10002.1	1.810183	0.0	0.0	0.0	1.499011	0.0	0.0	0.559878	1.367212	0.0	0.528032	0.938928	19.690577	1.400311	0.0	0.0	0.61773	0.0	0.36338	0.0	0.0	0.471231	0.0	0.0	0.532127
NA	13	68436823	68437200	MSTRG.10002.2	0.101957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.293678	0.0	0.00058	0.0	0.0	0.015561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.76836	13	68443185	68443346	MSTRG.10004.1	0.814501	4.479986	12.543768	1.744508	1.999037	2.251564	0.291076	3.309918	67.577019	4.447895	10.123584	5.601965	6.967562	2.253268	0.694473	1.404101	0.904852	0.0	2.108513	2.678192	18.216835	2.103619	1.273759	0.0	6.647396
NA	13	68492742	68492759	MSTRG.10006.1	0.015838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.120552	0.0
0.56321	1	1000070	1001133	MSTRG.100.1	10.964092	0.0	16.155159	18.742886	2.365145	5.152373	4.361245	7.236233	10.363837	5.741506	1.24123	1.218352	1.790254	6.700858	1.042094	3.107466	1.890796	1.558164	6.193278	7.839394	3.258716	2.420966	2.346467	3.479538	10.042204
0.73744	13	69067919	69067992	MSTRG.10010.1	3.811341	0.472739	1.236367	1.318198	1.049913	1.249107	0.942957	1.285443	5.355014	3.410362	9.080083	0.482575	7.891696	2.033386	0.349325	1.70924	1.076959	3.772878	0.940271	0.911325	1.863643	0.396186	2.350737	3.07184	3.800186
1.00000	1	59781955	59782171	MSTRG.1001.1	0.0	0.0	0.0	0.0	0.0	0.100229	0.0	0.0	5.640536	0.0	0.0	0.0	0.0	0.093618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.98547	13	69263030	69263308	MSTRG.10013.2	0.094808	0.6936	21.419138	0.645285	0.345239	1.638057	0.171637	0.227888	0.312514	0.298683	0.075377	0.059351	0.394	1.205966	0.561068	0.248227	1.473363	0.0	0.542512	0.37241	0.381009	0.117241	0.098904	0.653596	0.5978
NA	13	69258327	69258997	MSTRG.10013.3	0.0	0.027617	0.0	0.0	0.143266	0.047798	0.086037	0.050525	0.210659	0.0	0.004559	0.246111	0.0	0.055806	0.015617	0.014568	0.032173	0.0	0.0	0.018728	0.011064	0.005087	0.005774	0.004366	0.081714
NA	1	1000130	1001133	MSTRG.100.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.457626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	1	59942790	59942813	MSTRG.1002.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37102	0.0	8.688806
0.79533	13	69783449	69783817	MSTRG.10021.1	0.36628	0.527572	0.0	0.0	1.716186	2.870171	2.698405	0.565359	10.987529	1.736698	2.145483	1.050971	0.663586	1.811137	10.610798	0.879481	0.67438	1.738075	0.556634	2.274768	18.619116	0.0	21.70154	4.537529	0.52188
0.92690	13	69783449	69783817	MSTRG.10021.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.548128	0.0	0.377126	0.0	0.0	0.0	1.984972	0.0	0.0	0.0	0.0	1.711214	27.591076	0.0	7.325988	0.0	0.0
0.82446	13	69783449	69783817	MSTRG.10021.3	0.0	0.0	0.0	0.0	1.127094	2.043038	2.423797	0.822842	19.001797	0.0	2.458928	0.752982	0.959588	1.465467	7.740696	0.0	0.382445	2.730571	0.366393	3.004329	13.094753	0.0	9.552069	1.527844	0.0
1.00000	13	69802312	69803342	MSTRG.10021.4	0.16464	0.0	0.0	0.0	0.348707	0.0	0.222068	0.0	0.918653	0.0	0.0	0.004239	0.0	0.195252	0.915637	0.0	0.085409	0.0	0.243637	0.0	0.396324	0.0	2.085963	0.531631	0.0
1.00000	13	69802312	69803342	MSTRG.10021.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.368643	0.0	0.161544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.594638	0.101919	0.0	1.287742	0.0	0.0
0.97259	13	69802312	69803342	MSTRG.10021.6	0.165883	0.0	0.0	0.0	0.244227	0.136828	0.158712	0.0	1.567288	0.0	0.123449	1.980023	0.0	0.044761	0.211697	0.48411	0.089629	0.0	0.000474	0.163257	0.214187	0.281359	0.419602	0.11984	0.573915
0.98278	13	70050453	70050528	MSTRG.10029.1	4.643344	1.083148	0.0	0.0	0.0	0.0	0.0	0.0	1.741518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.87779	1	1000110	1001133	MSTRG.100.3	17.052526	0.0	0.0	0.0	5.022427	0.0	0.0	0.0	9.10472	0.0	0.0	0.0	0.0	1.283501	1.017848	4.940761	0.178564	0.0	0.0	0.938483	1.943788	0.0	0.0	0.0	7.146816
0.98904	13	70422610	70423255	MSTRG.10034.1	0.093732	0.0	0.0	0.0	0.410796	0.197914	0.212294	0.172604	0.101901	0.0	0.612659	0.0	21.872396	0.404451	0.135131	0.0	0.035463	0.0	0.365081	0.0	0.114907	0.0	0.0	0.435172	2.250827
1.00000	13	70421735	70422609	MSTRG.10034.2	0.0	0.0	0.0	0.0	0.506789	0.0	0.0	0.149265	0.494774	0.0	0.391792	0.0	0.927486	0.573765	0.399915	0.0	0.209794	0.0	0.192076	0.0	0.169708	0.0	0.581112	0.142178	6.996533
