tau	chr	start	end	transcript_id	Skin	Blood	Spleen	Adipose	Abomasum	Ear_bone	Cecum	Lung	Antler	Cerebrum	Cerebella	Jejunum	Rumen	Muscle	Kidney	Testis	Colon	Heart	Ileum	Liver	Esophagus
1.00000	chr1a	128329691	128331020	MSTRG.10001.1	0.191717	6.696332	0.271193	0.253966	0.191539	0.191153	0.089479	0.134324	0.367996	0.21622	0.0	0.168059	0.242056	0.142047	0.0	0.771579	0.088077	0.0	0.209549	0.0	0.0
0.89385	chr1a	128409590	128410361	MSTRG.10007.2	3.288015	15.929019	0.188713	2.821897	0.10673	0.880107	0.0	0.833603	5.968204	0.0	0.0	0.933803	1.857563	0.40289	0.219382	3.467176	0.477836	0.433676	0.862609	0.881291	0.433269
1.00000	chr1a	128460988	128461064	MSTRG.10008.1	0.170987	0.0	0.0	0.169809	0.0	0.0	0.0	0.0	0.294349	0.0	0.0	0.0	0.0	0.0	0.0	5.603419	0.0	0.0	0.0	0.0	0.0
0.99365	chr10a	3611352	3611798	MSTRG.100.1	0.209356	0.0	0.581634	0.0	0.0	0.0	0.317167	4.505025	1.210816	0.0	0.170539	0.691303	0.115058	0.0	0.0	0.0	0.366231	0.0	0.677457	0.245276	0.0
0.95670	chr1a	128614367	128614527	MSTRG.10016.1	0.626141	1.083153	1.590762	0.794385	0.165571	0.191616	0.207637	0.86877	2.962651	0.0	0.672507	0.897002	0.699007	0.837703	0.194856	6.570423	0.339574	0.209725	0.191974	0.0	0.016135
NA	chr1a	128667068	128667217	MSTRG.10018.1	0.006936	0.0	0.0	0.0	0.0	0.029108	0.0	0.0	0.325494	0.0	0.0	0.0	0.052995	0.0	0.042059	0.024845	0.009554	0.0	0.0	1e-06	0.0
NA	chr1a	128667061	128667217	MSTRG.10018.2	0.016153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010719	0.0	0.0	0.0	0.0	0.0	0.0	0.000817	0.0	0.0	0.0	0.0	0.0
NA	chr1a	128667068	128667217	MSTRG.10018.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	chr1a	128687932	128688081	MSTRG.10020.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01404	0.0	0.0
0.90301	chr11a	26823207	26823681	MSTRG.1002.1	1.558383	0.0	0.0	3.258051	0.0	0.183261	0.152389	1.088281	1.215064	0.257031	0.0	0.304739	0.246215	20.564207	0.0	0.330521	0.0	1.856478	0.0	26.261259	2.209436
0.95097	chr11a	26823207	26823681	MSTRG.1002.2	0.568813	0.0	0.0	1.16056	0.0	0.0	0.0	0.0	0.0	0.124886	0.0	0.111507	0.062305	7.722647	0.0	0.588394	0.0	0.228653	0.213157	9.360641	0.764966
0.94906	chr11a	26823207	26823681	MSTRG.1002.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.518994	0.0	0.0	0.0	5.7269	0.0	0.0	0.0	0.0	0.0	8.358873	0.0
NA	chr1a	128825986	128826032	MSTRG.10027.1	0.01065	0.004263	0.076932	0.011123	0.008192	0.016559	0.025514	0.028737	0.182696	0.001877	0.010533	0.007561	0.034033	0.034333	0.015401	0.062904	0.006842	0.002983	0.06973	0.006077	0.00528
