Gene_id,Sheep,Camel,Pig,Lesser-mouse-deer,Pronghorn,Giraffe,Forest-musk-deer,Cattle,Goat,Sika-deer,Rein-deer,Hippo,Killer-whale,Tapir
gene119,369,342,332,340,362,364,359,362,367,363,359,341,342,335
gene104,681,609,617,608,644,653,658,655,677,647,652,616,627,616
gene89,813,743,745,753,775,784,779,787,805,790,789,759,755,723
gene87,801,714,704,713,753,766,770,770,796,773,764,673,671,705
gene99,459,0,0,0,0,0,0,0,0,0,0,0,0,0
gene91,279,261,260,263,265,268,268,271,276,269,268,262,263,260
gene84,591,506,508,518,561,558,561,564,584,565,560,523,500,496
gene86,822,724,732,758,777,790,788,790,812,781,781,740,739,719
gene68,729,0,0,620,692,701,706,710,723,700,699,0,0,0
gene54,1089,1002,1006,1014,1045,1045,1052,1050,1077,1061,1059,1001,998,964
gene40,201,0,0,0,0,0,0,0,197,0,0,0,0,0
gene34,483,475,475,477,480,476,479,480,483,477,478,480,476,477
gene28,927,804,318,862,863,838,880,883,910,877,876,848,519,824
gene29,939,809,329,867,870,840,887,896,918,887,887,856,527,831
gene30,921,0,0,858,866,0,880,880,907,871,872,0,0,0
gene20,906,730,728,767,835,840,834,833,890,835,830,766,768,727
gene109,1056,861,841,884,942,971,980,1012,1042,976,977,868,888,823
gene97,825,0,0,0,0,0,0,0,0,0,0,0,0,0
gene88,444,317,326,398,413,425,413,426,435,424,424,324,317,299
gene112,3131,2730,2662,2758,2946,2979,2984,2997,3101,2932,2941,2780,2779,2683
gene117,695,630,622,627,669,667,668,681,689,667,664,648,619,632
gene90,1356,1218,1221,1235,1288,1286,1301,1326,1342,1295,1287,1234,1244,1161
gene78,366,336,327,334,348,356,353,353,366,355,355,345,341,331
gene80,1083,998,993,992,1018,1033,1044,1045,1073,1023,1036,1006,1004,990
gene69,474,0,0,394,451,455,455,457,470,451,450,0,0,0
gene76,1140,954,978,959,1011,1042,1044,1057,1107,1023,1015,965,960,942
gene58,381,0,0,63,68,70,85,96,120,74,80,13,60,0
gene62,606,584,586,586,599,599,596,596,604,598,599,580,589,589
gene50,458,355,346,0,417,416,417,428,443,419,421,374,354,347
gene27,873,522,240,716,793,806,0,813,846,795,785,752,0,532
gene32,363,0,0,236,291,319,299,311,345,305,300,0,0,0
gene46,602,458,455,502,546,549,551,571,576,568,563,512,501,455
gene23,766,661,653,662,698,725,720,732,756,728,729,669,661,609
gene26,909,0,0,0,0,0,0,842,869,48,48,0,0,0
gene126,1200,1081,1062,1096,1123,1148,1153,1174,1195,1150,1158,1086,1105,1063
gene101,2252,2131,2130,2143,2180,2190,2202,2214,2238,2197,2192,2135,2132,2105
gene85,1788,1581,1589,1578,1683,1705,1702,1734,1762,1708,1699,1602,1596,1575
gene127,840,790,775,795,810,819,814,824,838,817,819,798,788,780
gene124,2517,2176,2122,2241,2314,2381,2345,2406,2487,2388,2389,2219,2259,2174
gene93,420,383,387,401,404,405,408,413,416,409,409,402,398,386
gene111,1260,1140,1129,1158,1182,1204,1199,1204,1252,1188,1192,1153,1147,1130
gene103,836,776,774,778,817,808,812,820,832,813,808,783,790,761
gene102,1323,1220,1224,1254,1281,1279,1291,1297,1307,1287,1283,1239,1236,1224
gene81,918,815,817,836,879,888,882,898,909,893,885,848,848,807
gene65,1995,1549,1550,1653,1614,1848,1839,1886,1966,1823,1827,1651,1671,1513
gene72,1044,874,891,876,927,955,959,971,1017,937,934,883,875,865
gene43,1781,1593,1605,1627,1672,1684,1675,1714,1744,1695,1685,1620,1607,1538
gene38,828,619,617,643,715,734,732,737,801,729,723,632,635,620
gene39,678,614,611,621,660,652,650,653,672,650,651,634,627,596
gene61,3100,2792,2783,2848,2939,2963,2975,3005,3062,2968,2960,2816,2805,2757
gene57,672,635,639,643,662,661,662,662,670,665,664,644,641,626
gene35,999,899,920,941,958,974,962,982,991,980,977,923,922,892
gene49,642,558,550,573,591,600,605,611,624,608,602,572,567,550
gene60,480,0,0,0,0,0,0,0,453,0,0,0,0,0
gene56,1401,1240,1235,1274,1326,1328,1336,1343,1376,1331,1324,1273,1268,1232
gene113,1057,960,970,977,1009,1024,1024,1029,1044,1020,1010,993,980,964
gene24,741,0,644,664,696,704,700,711,731,692,697,240,189,189
gene125,923,843,777,865,881,895,902,894,914,900,896,872,860,852
gene121,858,748,749,773,778,815,824,826,846,824,809,763,774,767
gene120,1170,1064,1062,1065,1120,1123,1132,1132,1164,1130,1123,1080,1074,1049
gene19,918,783,758,688,849,855,856,867,894,876,860,798,0,747
gene122,2546,2271,2266,2309,2406,2442,2454,2457,2507,2432,2432,2300,2311,2225
gene110,1333,1194,1193,1198,1241,1252,1251,1261,1282,1252,1256,1216,1203,1183
gene16,1323,1122,1054,1169,1224,1127,1218,1247,1301,1247,1242,1142,0,1107
gene92,2937,2822,2826,2812,2878,2874,2883,2902,2913,2878,2851,2819,2823,2817
gene118,1649,1514,1504,1523,1584,1590,1580,1598,1636,1582,1578,1515,1532,1490
gene95,3494,2157,2193,3208,3302,3360,3339,3389,3458,3355,3348,3232,3237,2074
gene73,1143,1027,928,1055,1096,1093,1100,1105,1128,1097,1094,1052,1011,997
gene94,4980,4253,4230,4315,4534,4570,4576,4606,4935,4533,4554,4296,4319,4191
gene44,4767,3263,3251,3663,4022,4114,4247,4299,4639,4221,4202,3700,3716,3226
gene115,3541,3272,3288,3288,3399,3439,3426,3455,3523,3442,3434,3316,3315,3273
gene82,3335,2965,2924,3007,3114,3183,3171,3201,3300,3185,3171,3013,3014,2897
gene42,1020,878,893,882,948,964,957,981,999,968,967,904,913,888
gene51,1991,1588,1529,1649,1826,1810,1846,1888,1944,1844,1828,1666,1622,1584
gene37,1443,1213,1238,1275,1319,1337,1311,1351,1413,1343,1327,1247,1261,1204
gene96,2708,2210,2176,2214,2267,2318,2269,2333,2365,2324,2322,2226,2228,2178
gene9,2781,2017,2119,2290,2465,2515,2480,2530,2730,2518,2498,2230,2270,1975
gene13,1208,1069,806,1095,1104,1128,1126,1149,1176,1132,1131,1058,1086,1057
gene25,1940,1681,1737,1781,1821,1822,1852,1858,1910,1823,1854,1758,1724,1669
gene21,2210,1684,1701,1789,1769,1905,1908,1932,2013,1898,1869,1760,1760,1668
gene48,3858,3233,3093,3365,3558,3609,3639,3688,3815,3638,3644,3386,3373,3259
gene63,952,760,777,821,885,879,916,920,934,902,897,813,824,785
gene47,3156,2762,2284,2748,2967,2997,2981,3046,3136,2995,2981,2800,2769,2772
gene128,2333,2084,2087,2127,2200,2228,2241,2264,2307,2238,2223,2131,2136,2044
gene41,1785,1362,1268,1348,1528,1573,1419,1683,1624,1444,1449,1400,1417,1357
gene98,4650,4507,4273,4495,4567,4587,4582,4576,4637,4576,4576,4538,4531,4486
gene53,1075,911,898,958,999,1008,1030,1035,1059,1023,1026,978,970,924
gene123,2760,2600,2633,2625,2667,2691,2676,2694,2733,2693,2689,2625,2620,2610
gene22,2852,2446,2375,2565,2475,2640,2708,2777,2820,2724,2699,2487,2477,2388
gene107,2574,2472,2470,2489,2513,2524,2547,2557,2566,2524,2523,2493,2494,2471
gene17,1179,1010,1028,1050,1088,1101,1106,1130,1155,1104,1103,989,1038,1019
gene31,1438,1035,1011,1201,1263,1291,1282,1282,1410,1178,1274,1069,1086,952
gene106,2647,2529,2417,2524,2572,2593,2601,2597,2632,2590,2574,2547,2539,2512
gene114,2771,2560,2551,2563,2690,2698,2700,2698,2750,2693,2684,2594,2578,2505
gene79,4295,3946,3924,3966,4056,4137,4120,4166,4272,4125,4114,3985,3976,3956
gene108,3420,3191,3163,3120,3187,3341,3332,3358,3404,3332,3349,3236,3249,3185
gene74,2695,2448,2318,2500,2584,2606,2602,2638,2675,2591,2593,2468,2471,2433
gene100,3297,2984,2975,3052,3133,3181,3138,3194,3263,3178,3167,3043,3061,2978
gene11,1294,1149,1130,1112,1179,1198,1205,1214,1269,1199,1195,1148,1151,1121
gene105,4002,3632,3605,3604,3772,3804,3848,3895,3966,3852,3814,3640,3660,3592
gene77,3195,2623,2667,2650,2987,3027,3021,3031,3140,3019,3005,2784,2755,2691
gene71,4940,4165,4118,4323,4559,4628,4587,4726,4841,4653,4655,4309,4288,4042
gene45,710,649,619,650,689,695,702,701,707,701,695,655,659,652
gene67,9350,1829,1893,4442,8140,7881,8632,8798,9123,8241,7849,2226,1964,1892
gene10,1673,1435,1452,1501,1523,1565,1547,1577,1635,1565,1555,1484,1474,1454
gene55,2889,2355,2318,2544,2714,2743,2734,2771,2854,2738,2754,2558,2516,2341
gene75,4030,3596,3591,3625,3791,3848,3875,3893,3977,3844,3843,3660,3668,3547
gene59,3727,3422,3432,3497,3584,3582,3611,3638,3696,3600,3594,3459,3454,3364
gene7,798,499,517,552,629,623,679,741,778,643,645,562,553,483
gene36,2037,1693,1644,1740,1843,1899,1867,1935,1995,1907,1887,1710,1714,1666
gene8,2080,1728,1697,1800,1918,1920,1913,1980,2055,1955,1956,1788,1767,1673
gene116,2115,1796,1783,1832,2008,1997,2013,2007,2099,2010,2001,1828,1799,1794
gene64,3424,3121,2777,3181,3275,3295,3307,3334,3393,3291,3282,3183,3183,3110
gene33,4544,3503,3584,3910,4195,4108,4289,4285,4460,4175,4184,3867,3825,3637
gene15,4341,3393,3326,3346,3731,3864,3831,3970,4256,3800,3694,3412,3238,3334
gene14,4888,4057,4183,4311,4500,4514,4573,4627,4765,4558,4542,4226,4345,4176
gene70,4896,4067,3949,4173,4580,4631,4492,4722,4814,4641,4637,4232,4156,4051
gene12,4989,4113,3956,4251,4444,4604,4652,4725,4890,4602,4638,4199,4313,4090
gene2,1404,814,732,839,935,949,977,1196,1221,0,979,830,828,774
gene3,1449,1185,1233,1248,1317,1329,1349,1385,1406,1336,1342,815,1185,1221
gene6,1209,792,778,943,962,1026,1039,1081,1108,1035,1024,703,830,759
gene18,6001,5472,5497,5567,5734,5745,5775,5813,5946,5765,5749,5563,5444,5432
gene1,273,204,221,234,234,244,239,246,263,245,242,207,217,208
gene4,1319,1075,1085,1036,1240,1245,1239,1253,1296,1232,1231,1121,0,1028
gene83,11241,10371,10366,10525,10757,10886,10880,10952,11126,10862,10866,10506,10449,10350
gene5,2051,1595,1642,1728,1835,1837,1847,1926,2010,1867,1856,1688,1716,1602
gene66,5271,4606,4639,4596,4877,4892,4983,5081,5200,4812,3976,4703,3820,4585
gene52,10582,8860,8827,9261,9807,9824,9908,10039,10460,9775,9803,9217,9160,8744
gene141,1356,1292,1304,1317,1336,1340,1345,1348,1353,1340,1341,1310,1299,1293
gene135,728,678,681,679,702,705,679,707,724,706,705,687,683,679
gene143,244,237,239,236,237,242,241,242,242,242,241,239,239,236
gene129,802,736,740,744,771,776,778,781,798,770,767,743,736,735
